title,length
"EGYPT TENENBAUMS",85
"ENCOUNTERS CURTAIN",92
"ENDING CROWDS",85
"ENEMY ODDS",77
"ENGLISH BULWORTH",51
"EVE RESURRECTION",66
"EXCITEMENT EVE",51
"EXPENDABLE STALLION",97
"FANTASY TROOPERS",58
"FATAL HAUNTED",91
"FELLOWSHIP AUTUMN",77
"FEUD FROGMEN",98
"FICTION CHRISTMAS",72
"FIDDLER LOST",75
"FIGHT JAWBREAKER",91
"FLAMINGOS CONNECTICUT",80
"FLATLINERS KILLER",100
"FLYING HOOK",69
"FORREST SONS",63
"FORWARD TEMPLE",90
"FREDDY STORM",65
"FRENCH HOLIDAY",99
"FRIDA SLIPPER",73
"FRISCO FORREST",51
"FROST HEAD",82
"FUGITIVE MAGUIRE",83
"FULL FLATLINERS",94
"GANDHI KWAI",86
"GARDEN ISLAND",80
"GHOST GROUNDHOG",85
"GLEAMING JAWBREAKER",89
"GO PURPLE",54
"GODFATHER DIARY",73
"GOLDFINGER SENSIBILITY",93
"GONE TROUBLE",84
"GOODFELLAS SALUTE",56
"GRAIL FRANKENSTEIN",85
"GREATEST NORTH",93
"GUMP DATE",53
"GUN BONNIE",100
"GUNFIGHT MOON",70
"GUYS FALCON",84
"HALL CASSIDY",51
"HANGING DEEP",62
"HAPPINESS UNITED",100
"HARDLY ROBBERS",72
"HARPER DYING",52
"HAUNTED ANTITRUST",76
"HEAD STRANGER",69
"HEARTBREAKERS BRIGHT",59
"HELLFIGHTERS SIERRA",75
"HIGH ENCINO",84
"HILLS NEIGHBORS",93
"HOLIDAY GAMES",78
"HOLLYWOOD ANONYMOUS",69
"HOLY TADPOLE",88
"HONEY TIES",84
"HORN WORKING",95
"HUMAN GRAFFITI",68
"HUNTING MUSKETEERS",65
"HUSTLER PARTY",83
"HYDE DOCTOR",100
"IDOLS SNATCHERS",84
"INFORMER DOUBLE",74
"INSIDER ARIZONA",78
"INTERVIEW LIAISONS",59
"INTOLERABLE INTENTIONS",63
"INVASION CYCLONE",97
"ISHTAR ROCKETEER",79
"ISLAND EXORCIST",84
"JEEPERS WEDDING",84
"JEKYLL FROGMEN",58
"JERSEY SASSY",60
"JET NEIGHBORS",59
"JUGGLER HARDLY",54
"JUMPING WRATH",74
"KANE EXORCIST",92
"KILL BROTHERHOOD",54
"KNOCK WARLOCK",71
"LADY STAGE",67
"LANGUAGE COWBOY",78
"LEBOWSKI SOLDIERS",69
"LEGEND JEDI",59
"LICENSE WEEKEND",91
"LION UNCUT",50
"LOLA AGENT",85
"LONELY ELEPHANT",67
"LOSER HUSTLER",80
"LOST BIRD",98
"LOUISIANA HARRY",70
"LOVELY JINGLE",65
"LOVER TRUMAN",75
"LUCKY FLYING",97
"LUKE MUMMY",74
"LUST LOCK",52
"MADRE GABLES",98
"MAGNIFICENT CHITTY",53
"MAGUIRE APACHE",74
"MANNEQUIN WORST",71
"MARS ROMAN",62
"MATRIX SNOWMAN",56
"MAUDE MOD",72
"MEET CHOCOLATE",80
"MEMENTO ZOOLANDER",77
"METROPOLIS COMA",64
"MIDNIGHT WESTWARD",86
"MILE MULAN",64
"MINORITY KISS",59
"MOCKINGBIRD HOLLYWOOD",60
"MOD SECRETARY",77
"MODERN DORADO",74
"MOON BUNCH",83
"MOSQUITO ARMAGEDDON",57
"MOULIN WAKE",79
"MOVIE SHAKESPEARE",53
"MUPPET MILE",50
"MUSKETEERS WAIT",73
"MYSTIC TRUMAN",92
"NATIONAL STORY",92
"NATURAL STOCK",50
"NETWORK PEAK",75
"NEWTON LABYRINTH",75
"NONE SPIKING",83
"NOON PAPI",57
"NORTH TEQUILA",67
"NOVOCAINE FLIGHT",64
"OCTOBER SUBMARINE",54
"OKLAHOMA JUMANJI",58
"OPPOSITE NECKLACE",92
"ORANGE GRAPES",76
"OZ LIAISONS",85
"PACKER MADIGAN",84
"PANKY SUBMARINE",93
"PATIENT SISTER",99
"PATRIOT ROMAN",65
"PEAK FOREVER",80
"PEARL DESTINY",74
"PERDITION FARGO",99
"PERFECT GROOVE",82
"PET HAUNTING",99
"PHANTOM GLORY",60
"PICKUP DRIVING",77
"PILOT HOOSIERS",50
"PIRATES ROXANNE",100
"PITY BOUND",60
"PLUTO OLEANDER",84
"POLISH BROOKLYN",61
"PREJUDICE OLEANDER",98
"PRIMARY GLASS",53
"PRINCESS GIANT",71
"PULP BEVERLY",89
"PUNK DIVORCE",100
"PURPLE MOVIE",88
"RAIDERS ANTITRUST",82
"RAINBOW SHOCK",74
"RANDOM GO",73
"REAR TRADING",97
"REBEL AIRPORT",73
"REIGN GENTLEMEN",82
"RESERVOIR ADAPTATION",61
"REUNION WITCHES",63
"RINGS HEARTBREAKERS",58
"ROMAN PUNK",81
"ROOM ROMAN",60
"ROOTS REMEMBER",89
"SABRINA MIDNIGHT",99
"SADDLE ANTITRUST",80
"SALUTE APOLLO",73
"SATISFACTION CONFIDENTIAL",75
"SAVANNAH TOWN",84
"SEA VIRGIN",80
"SECRET GROUNDHOG",90
"SENSE GREEK",54
"SENSIBILITY REAR",98
"SHAKESPEARE SADDLE",60
"SHANE DARKNESS",93
"SHAWSHANK BUBBLE",80
"SHOCK CABIN",79
"SHOOTIST SUPERFLY",67
"SIDE ARK",52
"SILENCE KANE",67
"SILVERADO GOLDFINGER",74
"SIMON NORTH",51
"SLEEPLESS MONSOON",64
"SLEUTH ORIENT",87
"SLING LUKE",84
"SMILE EARRING",60
"SMOKING BARBARELLA",50
"SNATCHERS MONTEZUMA",74
"SNOWMAN ROLLERCOASTER",62
"SPARTACUS CHEAPER",52
"SPIKING ELEMENT",79
"STAGE WORLD",85
"STAMPEDE DISTURBING",75
"STING PERSONAL",93
"STONE FIRE",94
"STORM HAPPINESS",57
"STREETCAR INTENTIONS",73
"SUICIDES SILENCE",93
"SUMMER SCARFACE",53
"SUNDANCE INVASION",92
"SUPER WYOMING",58
"TARZAN VIDEOTAPE",91
"TAXI KICK",64
"TEEN APOLLO",74
"TEMPLE ATTRACTION",71
"TENENBAUMS COMMAND",99
"TEQUILA PAST",53
"TERMINATOR CLUB",88
"THIN SAGEBRUSH",53
"TIMBERLAND SKY",69
"TITANS JERK",91
"TOMATOES HELLFIGHTERS",68
"TRAIN BUNCH",71
"TREATMENT JEKYLL",87
"TRIP NEWTON",64
"TROJAN TOMORROW",52
"TROUBLE DATE",61
"TRUMAN CRAZY",92
"TURN STAR",80
"TYCOON GATHERING",82
"UNBREAKABLE KARATE",62
"UNFAITHFUL KILL",78
"UPTOWN YOUNG",84
"VALLEY PACKER",73
"VARSITY TRIP",85
"VERTIGO NORTHWEST",90
"VICTORY ACADEMY",64
"VILLAIN DESPERATE",76
"VISION TORQUE",59
"VOYAGE LEGALLY",78
"WAKE JAWS",73
"WAR NOTTING",80
"WARLOCK WEREWOLF",83
"WASTELAND DIVINE",85
"WATCH TRACY",78
"WATERFRONT DELIVERANCE",61
"WEDDING APOLLO",70
"WEREWOLF LOLA",79
"WESTWARD SEABISCUIT",52
"WHISPERER GIANT",59
"WINDOW SIDE",85
"WISDOM WORKER",98
"WITCHES PANIC",100
"WIZARD COLDBLOODED",75
"WOLVES DESIRE",55
"WONKA SEA",85
"WORKING MICROCOSMOS",74
"WYOMING STORM",100
"YENTL IDAHO",86
"ZORRO ARK",50
